,me_change
1602,248569.34375
1603,248681.234375
1604,248692.40625
1605,248355.734375
1606,247701.15625
1607,247141.625
1608,247053.84375
1609,246508.703125
1610,246265.1875
1611,245909.03125
1612,245800.015625
1613,245554.1875
1614,245177.53125
1615,244995.09375
1616,244569.15625
1617,244552.25
1618,244497.71875
1619,244149.0625
1620,243611.34375
1621,243506.640625
1622,243326.890625
1623,242660.1875
1624,242477.9375
1625,242167.375
1626,242053.5625
1627,241588.25
1628,241341.484375
1629,241279.71875
1630,241100.0
1631,240756.46875
1632,240298.1875
1633,240598.46875
1634,240275.15625
1635,239603.09375
1636,239510.65625
1637,239276.28125
1638,238913.296875
1639,238718.640625
1640,238331.515625
1641,238336.09375
1642,238285.90625
1643,238026.5
1644,237595.34375
1645,237095.0
1646,237584.140625
1647,237437.3125
1648,236671.21875
1649,236428.9375
1650,236566.1875
1651,236458.609375
1652,236079.75
1653,235488.15625
1654,234973.546875
1655,234911.21875
1656,234482.171875
1657,234287.40625
1658,234042.9375
1659,233895.78125
1660,233679.1875
1661,233327.4375
1662,233567.34375
1663,233280.171875
1664,232735.3125
1665,232658.203125
1666,232373.40625
1667,232114.0
1668,231790.5
1669,231695.953125
1670,231463.1875
1671,231275.703125
1672,230945.5625
1673,231075.15625
1674,230781.375
1675,230392.5
1676,230302.15625
1677,230045.46875
1678,229648.1875
1679,229910.984375
1680,229714.4375
1681,229049.65625
1682,229242.453125
1683,229441.59375
1684,229219.390625
1685,228614.09375
1686,227985.375
1687,228525.125
1688,228643.796875
1689,228185.46875
1690,227265.75
1691,227478.9375
1692,227785.484375
1693,227673.75
1694,227165.484375
1695,226366.90625
1696,226332.84375
